[ 3.46191, 183.94 ]
[ 3.64556, 184.365 ]
[ 3.83834, 184.779 ]
[ 4.04, 185.184 ]
[ 4.25025, 185.579 ]
[ 4.46884, 185.964 ]
[ 4.69548, 186.339 ]
[ 4.92992, 186.705 ]
[ 5.17187, 187.063 ]
[ 5.42108, 187.411 ]
[ 5.67726, 187.75 ]
[ 5.94016, 188.08 ]
[ 6.20949, 188.402 ]
[ 6.485, 188.716 ]
[ 6.7664, 189.022 ]
[ 7.05344, 189.319 ]
[ 7.34583, 189.609 ]
[ 7.64332, 189.891 ]
[ 7.94562, 190.166 ]
[ 8.25248, 190.433 ]
[ 8.56361, 190.693 ]
[ 8.87876, 190.946 ]
[ 9.19764, 191.192 ]
[ 9.52, 191.432 ]
[ 9.84555, 191.665 ]
[ 10.174, 191.892 ]
[ 10.5052, 192.113 ]
[ 10.8387, 192.328 ]
[ 11.1744, 192.537 ]
[ 11.5119, 192.74 ]
[ 11.851, 192.938 ]
[ 12.1914, 193.13 ]
[ 12.5328, 193.318 ]
[ 12.875, 193.5 ]
[ 13.2177, 193.678 ]
[ 13.5606, 193.851 ]
[ 13.9035, 194.019 ]
[ 14.2461, 194.183 ]
[ 14.5881, 194.344 ]
[ 14.9293, 194.5 ]
[ 15.2693, 194.652 ]
[ 15.608, 194.801 ]
[ 15.9449, 194.946 ]
[ 16.28, 195.088 ]
[ 16.6129, 195.227 ]
[ 16.9432, 195.363 ]
[ 17.2709, 195.496 ]
[ 17.5955, 195.626 ]
[ 17.9169, 195.755 ]
[ 18.2347, 195.88 ]
[ 18.5487, 196.004 ]
[ 18.8586, 196.126 ]
[ 19.1641, 196.246 ]
[ 19.465, 196.364 ]
[ 19.761, 196.481 ]
[ 20.0518, 196.597 ]
[ 20.3372, 196.711 ]
[ 20.6169, 196.825 ]
[ 20.8906, 196.938 ]
[ 21.1581, 197.05 ]
[ 21.419, 197.162 ]
[ 21.6732, 197.273 ]
[ 21.9202, 197.384 ]
[ 22.16, 197.496 ]
[ 22.3922, 197.608 ]
[ 22.6164, 197.72 ]
[ 22.8326, 197.833 ]
[ 23.0403, 197.946 ]
[ 23.2394, 198.061 ]
[ 23.4295, 198.176 ]
[ 23.6104, 198.293 ]
[ 23.7818, 198.411 ]
[ 23.9434, 198.531 ]
[ 24.095, 198.652 ]
[ 24.2363, 198.775 ]
[ 24.367, 198.901 ]
[ 24.4869, 199.029 ]
[ 24.5957, 199.159 ]
[ 24.6931, 199.292 ]
[ 24.7789, 199.427 ]
[ 24.8527, 199.565 ]
[ 24.9144, 199.707 ]
[ 24.9635, 199.852 ]
[ 25, 200 ]
